餐厅名称,餐厅ID,市场,城市,订单TC,人工干预TC,去除大单TC,人工干预TC占比,准点率,30分钟内送达TC,30分钟送达TC占比,投诉TC,投诉TC占比,平均离店时间,等待骑手时间,等待餐点时间,订单平均完成时间,趟次,并单率,延时时间,宅急送营业时间,延时占营业时间,停单时间,停单占营业时间,骑手实际工作时间,CPH,到店违规占比,妥投违规占比,离店违规占比,到店违规TC,妥投违规TC,离店违规TC,准时TC,计费TC,
GZH715珠江新城店PHHS,	2192,广州市场,广州市,615,97,603,15.77%,90.79%,521,87.27%,7,1.14%,15.0,4.4,10.6,25.5,429,1.43,39.4,5040,0.78%,0.3,0.01%,341.1,1.80,0.0821,0.0687,0.0101,49,41,6,542,615,
PSH587杭州下沙龙湖店PH,	1061,杭州市场,杭州市,298,35,295,11.74%,97.62%,163,55.44%,1,0.34%,20.9,12.1,8.8,31.6,221,1.35,257.7,5040,5.11%,27.3,0.54%,177.1,1.68,0.0000,0.0136,0.0000,0,4,0,287,298,
GZH733科苑PHHS,	2272,深圳市场,深圳市,488,31,471,6.35%,95.74%,213,45.32%,3,0.61%,18.4,7.1,11.4,31.8,315,1.55,80.7,5040,1.6%,0.0,0%,371.1,1.31,0.0660,0.0979,0.0745,31,46,35,450,488,
PSH242临安万华,	220,杭州市场,杭州市,244,30,242,12.3%,97.52%,142,58.68%,6,2.46%,18.6,8.5,10.1,28.5,194,1.26,68.8,5040,1.36%,73.5,1.46%,192.4,1.27,0.0041,0.0372,0.0083,1,9,2,236,248,
GZ1827公明店PH,	243,深圳市场,深圳市,307,82,305,26.71%,98.35%,154,50.83%,1,0.33%,20.6,10.7,10.0,29.6,235,1.31,162.3,5040,3.22%,5.2,0.1%,196.0,1.57,0.0099,0.0957,0.0099,3,29,3,298,307,
GZ2587坪山PH,	381,深圳市场,深圳市,294,16,293,5.44%,91.47%,97,33.11%,1,0.34%,21.2,10.8,10.3,34.1,200,1.47,237.6,4760,4.99%,19.9,0.42%,201.9,1.46,0.0000,0.0102,0.0000,0,3,0,268,291,
GZ2508朝阳店PH,	403,深圳市场,南宁市,73,0,72,0%,97.22%,29,40.28%,2,2.74%,17.6,8.2,9.4,31.1,65,1.12,47.3,5040,0.94%,14.0,0.28%,106.9,0.68,0.0139,0.0972,0.0000,1,7,0,70,74,
GZ2809山海名门PH,	667,广州市场,佛山市,326,16,323,4.91%,90.4%,114,35.29%,1,0.31%,22.2,9.9,12.3,33.1,232,1.41,157.9,5040,3.13%,8.1,0.16%,196.0,1.66,0.0031,0.0402,0.0093,1,13,3,292,326,
PSH389临海崇和门店PH,	942,杭州市场,台州市,256,11,256,4.3%,96.84%,198,78.26%,0,0%,16.4,6.3,10.1,24.3,195,1.31,17.2,4970,0.35%,0.0,0%,256.8,1.00,0.0000,0.0237,0.0000,0,6,0,245,256,
PBJ276密云店PH,	1244,北京市场,北京市,507,18,505,3.55%,97.43%,318,62.97%,1,0.2%,18.1,7.8,10.3,27.9,302,1.68,194.4,4830,4.02%,0.0,0%,268.0,1.89,0.0020,0.0099,0.0119,1,5,6,492,508,
